0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:38:25 +0900] "GET /ShoppingMall HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:38:26 +0900] "GET /ShoppingMall/ HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:38:26 +0900] "GET /ShoppingMall/images/error/500.jpg HTTP/1.1" 200 244018
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:38:27 +0900] "GET /favicon.ico HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:38:56 +0900] "GET /ShoppingMall/mg/managerMain.do HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:39:43 +0900] "GET /ShoppingMall/mg HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:39:43 +0900] "GET /ShoppingMall/images/error/404.jpg HTTP/1.1" 200 243754
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:40:49 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:40:49 +0900] "GET /js/library/jquery-1.11.0.min.js HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:40:49 +0900] "GET /js/mngrmanagermain.js HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:41:08 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:41:08 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:41:08 +0900] "GET /ShoppingMall/js/library/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:42:04 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:42:04 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:42:13 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:42:13 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:20 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:20 +0900] "GET /ShoppingMall/css/style.css HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:20 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:56 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:56 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:56 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:56 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:56 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:56 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:57 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:57 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:57 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:43:57 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:00 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:00 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:04 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:04 +0900] "GET /ShoppingMall/css/style.css HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:04 +0900] "GET /ShoppingMall/js/library/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:04 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:04 +0900] "GET /favicon.ico HTTP/1.1" 404 754
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:08 +0900] "GET /ShoppingMall/css/style.css HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:10 +0900] "GET /ShoppingMall/jsp/mngr/managerMain.jsp HTTP/1.1" 200 636
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:10 +0900] "GET /ShoppingMall/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:10 +0900] "GET /ShoppingMall/js/library/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Feb/2020:01:44:10 +0900] "GET /ShoppingMall/js/mngrmanagermain.js HTTP/1.1" 200 512
